epoch,loss,val_micro_f1,test_micro_f1
1,0.5983226708604918,0.4049631243664555,0.40492235163616197
2,0.5480889985408782,0.4585242597166624,0.4622267714455524
3,0.5209404376945967,0.5495929125933012,0.5567457902211402
4,0.49923626409497385,0.59287619113802,0.6015229907661389
5,0.48523995075062093,0.6071212381305169,0.6152554462116686
6,0.47389933228790054,0.6101292522476082,0.6181979270134852
7,0.46464241730717143,0.613599512853271,0.6240887040887041
8,0.45606934643984215,0.6377144822779138,0.6485907055930387
9,0.4491282232921702,0.6487977581504741,0.6602212567088978
10,0.44214782508233075,0.6610038741321456,0.6730524070537464
