epoch,loss,val_micro_f1,test_micro_f1
1,0.6712005566484556,0.40352231705026814,0.4034215721713984
2,0.6411609399962711,0.39868518395996605,0.39884472080168526
3,0.6182394305757014,0.3943156147990237,0.39439264873566304
4,0.6009971929680652,0.39419224117826995,0.39428026692087703
5,0.5881153935526642,0.3935740050316753,0.3935981115206429
6,0.5785243375892921,0.39353991930961524,0.393569727254094
7,0.5713895029763212,0.39350931225143077,0.3935226907268596
8,0.5660593209513862,0.39401100365980757,0.39411727309330563
9,0.5620328663521363,0.3952854641192607,0.3953672037513662
10,0.5588498053633333,0.39751728794757246,0.3974709080620956
