epoch,loss,val_micro_f1,test_micro_f1
1,0.5486425140390033,0.5267503327342863,0.5312490874367046
2,0.4988220938103229,0.5938869579215384,0.6018926644050587
3,0.4665339677664494,0.6390824132863473,0.6508663978343877
4,0.44358029462248105,0.6543682639050759,0.6683425004714897
5,0.42680531213906103,0.6725958767062615,0.6875011346572297
6,0.4132453483836622,0.6867924195253047,0.70280448738533
7,0.4016523934263315,0.6970039505572739,0.7145838213061346
8,0.39603890920940477,0.7024272993452649,0.7202099454949196
9,0.38696912355913127,0.7141823936830999,0.7321079893188674
10,0.3801342324175686,0.7229694867004715,0.741144836057536
