epoch,loss,val_micro_f1,test_micro_f1
1,0.573145616054535,0.43338436202537517,0.4351798702044179
2,0.5303293764591217,0.477406527433942,0.48174961515422815
3,0.5105581611394883,0.49312769386036814,0.500569601408469
4,0.4945078432559967,0.5413031499073246,0.5502250158978623
5,0.4819513410329819,0.5466360529688168,0.5574121387962659
6,0.47186003178358077,0.5790334807811587,0.593088597513311
7,0.4670272722840309,0.5799861014593468,0.5946516998381106
8,0.459332200884819,0.587748707019845,0.602462851591138
9,0.4553577870130539,0.5988055908513342,0.615030679347268
10,0.4506521880626678,0.5926111406721128,0.6097308550901662
11,0.44637497812509536,0.6234096941804498,0.6398409290108836
12,0.4430287376046181,0.5911984646945934,0.6090724871212676
13,0.44006730169057845,0.5903615105207729,0.6091106022157579
14,0.4386976271867752,0.6381202324474758,0.6547690770020962
15,0.43681946992874143,0.606397227850457,0.6242751836806302
16,0.4339789792895317,0.6122509757206226,0.6313658973757496
17,0.4316336587071419,0.625921528070377,0.6456581685054988
18,0.4293485075235367,0.6235348574073598,0.6424838555900667
19,0.4281720548868179,0.6414062809786272,0.6601286651278653
20,0.4264312222599983,0.6272044133379735,0.6471730846221141
21,0.4260305389761925,0.6357937361594432,0.6554693802660205
22,0.4234554126858711,0.6294457360665024,0.6493452100047192
23,0.42186930775642395,0.6387632242704853,0.6580027798255761
24,0.42108833640813825,0.6380831637817335,0.6571823854939361
25,0.42026945799589155,0.6443143605692587,0.664285049880241
26,0.41913391798734667,0.6449250841515262,0.6650190770960648
27,0.4178871139883995,0.6553351797254237,0.6749474357802359
28,0.4170359596610069,0.6324004544682852,0.6534226141346595
29,0.4157534077763557,0.6505290577924963,0.6702700504783535
30,0.4152782306075096,0.6505457734465233,0.670703488372093
