epoch,loss,val_micro_f1,test_micro_f1
1,0.5428891925006244,0.5082089511302735,0.511274406618571
2,0.4624714579225643,0.6215052916176246,0.6331486834797716
3,0.39971762128658445,0.6669226424629165,0.6801126670254303
4,0.35732523395012455,0.7078242229367632,0.7246992994668899
5,0.32601915569139345,0.7359374665687205,0.7518486142952175
6,0.3044485234725249,0.7648153069359553,0.7804211754033564
7,0.28707965386581225,0.7721260898099124,0.7886748931976804
8,0.2722948237723329,0.7876873565958461,0.8037788570288071
9,0.2617925462855829,0.7963318566682148,0.8148808521114898
10,0.2524369889028682,0.8071851642927654,0.8251862769180381
